time,playerPositionX,playerPositionZ,playerRotation,rewardAmount,painBodyPart,painBodySource
0.7302704,0.01322086,4.116576,0.01806318,0,00,000
0.7362976,0.01482398,4.202653,0.01806318,0,00,000
0.7422638,0.01649338,4.288192,0.01806318,0,00,000
0.7483673,0.01822021,4.373043,0.01806318,0,00,000
0.7545929,0.02006114,4.46004,0.01806318,0,00,000
0.7604523,0.02201504,4.549085,0.01806318,0,00,000
0.76651,0.02391789,4.633136,0.01806318,0,00,000
0.772583,0.0259487,4.720212,0.01806318,0,00,000
0.778595,0.02804461,4.807649,0.01806318,0,00,000
0.784668,0.03017782,4.894437,0.01806318,0,00,000
0.7907715,0.03238754,4.982256,0.01806318,0,00,000
0.7968903,0.03466155,5.070678,0.01806318,0,00,000
0.802887,0.03699201,5.159473,0.01806318,0,00,000
0.8089294,0.0393226,5.246646,0.01806318,0,00,000
0.8153229,0.04171736,5.334674,0.01806318,0,00,000
0.8211365,0.04429804,5.427922,0.01806318,0,00,000
0.8272095,0.04668083,5.51278,0.01806318,0,00,000
0.8332367,0.04920711,5.601479,0.01806318,0,00,000
0.8393097,0.05175038,5.689603,0.01806318,0,00,000
0.8453217,0.05434696,5.778461,0.01806318,0,00,000
0.8513031,0.05695109,5.866552,0.01806318,0,00,000
0.8573761,0.05957778,5.954449,0.01806318,0,00,000
0.8634033,0.06227406,6.043747,0.01806318,0,00,000
0.8695221,0.06497866,6.132462,0.01806318,0,00,000
0.8755493,0.06775114,6.222569,0.01806318,0,00,000
0.8815765,0.0705097,6.311461,0.01806318,0,00,000
0.8876648,0.07329295,6.40043,0.01806318,0,00,000
0.893692,0.07612561,6.490288,0.01806318,0,00,000
0.9001312,0.0789552,6.579409,0.01806318,0,00,000
0.9060364,0.0819923,6.674501,0.01767054,0,00,000
0.9120178,0.08479436,6.761788,0.01767054,0,00,000
0.9181824,0.08764382,6.850222,0.0172779,0,00,000
0.9242249,0.09059448,6.941464,0.0172779,0,00,000
0.930191,0.09349411,7.030933,0.01688526,0,00,000
0.9363556,0.09636617,7.11937,0.01688526,0,00,000
0.9423828,0.09933855,7.210823,0.01649262,0,00,000
0.9484558,0.1022454,7.300194,0.01649262,0,00,000
0.9545135,0.1051799,7.390348,0.01649262,0,00,000
0.9606628,0.108109,7.480279,0.01649262,0,00,000
0.9667816,0.1110904,7.571754,0.01649262,0,00,000
0.9727325,0.1140528,7.662699,0.01609997,0,00,000
0.9785309,0.1169368,7.751286,0.01609997,0,00,000
0.9857483,0.1197439,7.837552,0.01609997,0,00,000
0.9912567,0.1232336,7.945006,0.01570732,0,00,000
0.9969177,0.1258908,8.026946,0.01570732,0,00,000
1.003464,0.1286178,8.11125,0.01531467,0,00,000
1.009277,0.1317668,8.208871,0.01531467,0,00,000
1.015411,0.1345519,8.295513,0.01492202,0,00,000
1.021255,0.1374843,8.387058,0.01492202,0,00,000
1.027618,0.140267,8.474312,0.01452936,0,00,000
1.033722,0.143284,8.569344,0.01452936,0,00,000
1.03949,0.1461629,8.660513,0.0141367,0,00,000
1.046005,0.1488712,8.746696,0.0141367,0,00,000
1.051712,0.1519046,8.843859,0.01374404,0,00,000
1.057755,0.1545498,8.929058,0.01374404,0,00,000
1.063766,0.1573389,9.01939,0.01374404,0,00,000
1.069611,0.1600954,9.109141,0.01374404,0,00,000
1.075806,0.1627639,9.196454,0.01374404,0,00,000
1.082001,0.1655791,9.289031,0.01374404,0,00,000
1.088089,0.1683798,9.381572,0.01374404,0,00,000
1.093704,0.1711205,9.472534,0.01374404,0,00,000
1.105942,0.1763953,9.648681,0.01374404,0,00,000
1.111847,0.1790998,9.739528,0.01374404,0,00,000
1.118225,0.1817177,9.827785,0.01374404,0,00,000
1.124252,0.1845391,9.92326,0.01374404,0,00,000
1.130554,0.1871976,10.01353,0.01374404,0,00,000
1.136307,0.1899659,10.10784,0.01374404,0,00,000
1.142624,0.1924843,10.19388,0.01374404,0,00,000
1.148575,0.1952428,10.28842,0.01374404,0,00,000
1.154678,0.1978299,10.37745,0.01335138,0,00,000
1.160568,0.2004732,10.46877,0.01335138,0,00,000
1.166672,0.2030135,10.55686,0.01335138,0,00,000
1.172516,0.2056423,10.64834,0.01335138,0,00,000
1.178802,0.2081497,10.73589,0.01335138,0,00,000
1.184753,0.2108368,10.83003,0.01335138,0,00,000
1.190826,0.2133694,10.91903,0.01335138,0,00,000
1.197052,0.2159508,11.01001,0.01335138,0,00,000
1.202866,0.2185883,11.10325,0.01335138,0,00,000
1.208878,0.2210435,11.19027,0.01335138,0,00,000
1.215195,0.2235759,11.28025,0.01335138,0,00,000
1.221054,0.2262332,11.37492,0.01335138,0,00,000
1.227173,0.2286891,11.46261,0.01335138,0,00,000
1.233078,0.2312504,11.55428,0.01335138,0,00,000
1.239197,0.2337143,11.64264,0.01335138,0,00,000
1.245377,0.2362671,11.73438,0.01335138,0,00,000
1.251312,0.2388396,11.82701,0.01335138,0,00,000
1.257462,0.2413032,11.91588,0.01335138,0,00,000
1.263412,0.2438556,12.00812,0.01335138,0,00,000
1.269653,0.2463158,12.09718,0.01335138,0,00,000
1.275787,0.2488952,12.1907,0.01335138,0,00,000
1.281555,0.2514243,12.28254,0.01335138,0,00,000
1.288101,0.2538038,12.36908,0.01335138,0,00,000
1.294022,0.2564905,12.46707,0.01295871,0,00,000
1.300079,0.2589167,12.5558,0.01295871,0,00,000
